randid,Month,Number of Readings,Total Days in Month,Percentage of Month (%)
C2S32,2018-08,31,31,100.0
C2S32,2018-09,30,30,100.0
C2S32,2018-10,31,31,100.0
C2S32,2018-11,30,30,100.0
C2S32,2018-12,31,31,100.0
C2S32,2019-01,31,31,100.0
C2S32,2019-02,28,28,100.0
C2S32,2019-03,31,31,100.0
C2S32,2019-04,1,30,3.33
C2S33,2018-08,31,31,100.0
C2S33,2018-09,30,30,100.0
C2S33,2018-10,31,31,100.0
C2S33,2018-11,30,30,100.0
C2S33,2018-12,31,31,100.0
C2S33,2019-01,31,31,100.0
C2S33,2019-02,28,28,100.0
C2S33,2019-03,31,31,100.0
C2S33,2019-04,1,30,3.33
C2S34,2019-03,31,31,100.0
C2S34,2019-04,1,30,3.33
C2S35,2018-08,31,31,100.0
C2S35,2018-09,30,30,100.0
C2S35,2018-10,31,31,100.0
C2S35,2018-11,30,30,100.0
C2S35,2018-12,31,31,100.0
C2S35,2019-01,31,31,100.0
C2S35,2019-02,28,28,100.0
C2S35,2019-03,31,31,100.0
C2S35,2019-04,1,30,3.33
C2S36,2018-08,31,31,100.0
C2S36,2018-09,30,30,100.0
C2S36,2018-10,31,31,100.0
C2S36,2018-11,30,30,100.0
C2S36,2018-12,31,31,100.0
C2S36,2019-01,31,31,100.0
C2S36,2019-02,28,28,100.0
C2S36,2019-03,31,31,100.0
C2S36,2019-04,1,30,3.33
C2S37,2018-08,31,31,100.0
C2S37,2018-09,30,30,100.0
C2S37,2018-10,31,31,100.0
C2S37,2018-11,30,30,100.0
C2S37,2018-12,31,31,100.0
C2S37,2019-01,31,31,100.0
C2S37,2019-02,28,28,100.0
C2S37,2019-03,31,31,100.0
C2S37,2019-04,1,30,3.33
C2S39,2018-08,31,31,100.0
C2S39,2018-09,30,30,100.0
C2S39,2018-10,31,31,100.0
C2S39,2018-11,30,30,100.0
C2S39,2018-12,31,31,100.0
C2S39,2019-01,31,31,100.0
C2S39,2019-02,28,28,100.0
C2S39,2019-03,31,31,100.0
C2S39,2019-04,1,30,3.33
C2S4,2018-08,31,31,100.0
C2S4,2018-09,30,30,100.0
C2S4,2018-10,31,31,100.0
C2S4,2018-11,30,30,100.0
C2S4,2018-12,31,31,100.0
C2S4,2019-01,31,31,100.0
C2S4,2019-02,28,28,100.0
C2S4,2019-03,31,31,100.0
C2S4,2019-04,1,30,3.33
C2S40,2018-08,31,31,100.0
C2S40,2018-09,30,30,100.0
C2S40,2018-10,31,31,100.0
C2S40,2018-11,30,30,100.0
C2S40,2018-12,31,31,100.0
C2S40,2019-01,31,31,100.0
C2S40,2019-02,28,28,100.0
C2S40,2019-03,31,31,100.0
C2S40,2019-04,1,30,3.33
C2S41,2018-08,31,31,100.0
C2S41,2018-09,30,30,100.0
C2S41,2018-10,31,31,100.0
C2S41,2018-11,30,30,100.0
C2S41,2018-12,31,31,100.0
C2S41,2019-01,31,31,100.0
C2S41,2019-02,28,28,100.0
C2S41,2019-03,31,31,100.0
C2S41,2019-04,1,30,3.33
C2S42,2019-03,31,31,100.0
C2S42,2019-04,1,30,3.33
C2S43,2018-08,31,31,100.0
C2S43,2018-09,30,30,100.0
C2S43,2018-10,31,31,100.0
C2S43,2018-11,30,30,100.0
C2S43,2018-12,31,31,100.0
C2S43,2019-01,31,31,100.0
C2S43,2019-02,28,28,100.0
C2S43,2019-03,31,31,100.0
C2S43,2019-04,1,30,3.33
C2S44,2018-08,31,31,100.0
C2S44,2018-09,30,30,100.0
C2S44,2018-10,31,31,100.0
C2S44,2018-11,30,30,100.0
C2S44,2018-12,31,31,100.0
C2S44,2019-01,31,31,100.0
C2S44,2019-02,28,28,100.0
C2S44,2019-03,31,31,100.0
C2S44,2019-04,1,30,3.33
C2S45,2018-08,31,31,100.0
C2S45,2018-09,30,30,100.0
C2S45,2018-10,31,31,100.0
C2S45,2018-11,30,30,100.0
C2S45,2018-12,31,31,100.0
C2S45,2019-01,31,31,100.0
C2S45,2019-02,28,28,100.0
C2S45,2019-03,31,31,100.0
C2S45,2019-04,1,30,3.33
C2S46,2018-08,31,31,100.0
C2S46,2018-09,30,30,100.0
C2S46,2018-10,31,31,100.0
C2S46,2018-11,30,30,100.0
C2S46,2018-12,31,31,100.0
C2S46,2019-01,31,31,100.0
C2S46,2019-02,28,28,100.0
C2S46,2019-03,31,31,100.0
C2S46,2019-04,1,30,3.33
C2S47,2018-08,31,31,100.0
C2S47,2018-09,30,30,100.0
C2S47,2018-10,31,31,100.0
C2S47,2018-11,30,30,100.0
C2S47,2018-12,31,31,100.0
C2S47,2019-01,31,31,100.0
C2S47,2019-02,28,28,100.0
C2S47,2019-03,31,31,100.0
C2S47,2019-04,1,30,3.33
C2S48,2018-08,31,31,100.0
C2S48,2018-09,30,30,100.0
C2S48,2018-10,31,31,100.0
C2S48,2018-11,30,30,100.0
C2S48,2018-12,31,31,100.0
C2S48,2019-01,31,31,100.0
C2S48,2019-02,28,28,100.0
C2S48,2019-03,31,31,100.0
C2S48,2019-04,1,30,3.33
C2S49,2018-08,31,31,100.0
C2S49,2018-09,30,30,100.0
C2S49,2018-10,31,31,100.0
C2S49,2018-11,30,30,100.0
C2S49,2018-12,31,31,100.0
C2S49,2019-01,31,31,100.0
C2S49,2019-02,28,28,100.0
C2S49,2019-03,31,31,100.0
C2S49,2019-04,1,30,3.33
C2S5,2018-08,31,31,100.0
C2S5,2018-09,30,30,100.0
C2S5,2018-10,31,31,100.0
C2S5,2018-11,30,30,100.0
C2S5,2018-12,31,31,100.0
C2S5,2019-01,31,31,100.0
C2S5,2019-02,28,28,100.0
C2S5,2019-03,31,31,100.0
C2S5,2019-04,1,30,3.33
C2S50,2018-08,31,31,100.0
C2S50,2018-09,30,30,100.0
C2S50,2018-10,31,31,100.0
C2S50,2018-11,30,30,100.0
C2S50,2018-12,31,31,100.0
C2S50,2019-01,31,31,100.0
C2S50,2019-02,28,28,100.0
C2S50,2019-03,31,31,100.0
C2S50,2019-04,1,30,3.33
C2S51,2018-12,25,31,80.65
C2S51,2019-01,31,31,100.0
C2S51,2019-02,28,28,100.0
C2S51,2019-03,31,31,100.0
C2S51,2019-04,1,30,3.33
C2S52,2018-09,30,30,100.0
C2S52,2018-10,31,31,100.0
C2S52,2018-11,30,30,100.0
C2S52,2018-12,31,31,100.0
C2S52,2019-01,31,31,100.0
C2S52,2019-02,28,28,100.0
C2S52,2019-03,31,31,100.0
C2S52,2019-04,1,30,3.33
C2S53,2018-09,30,30,100.0
C2S53,2018-10,31,31,100.0
C2S53,2018-11,30,30,100.0
C2S53,2018-12,31,31,100.0
C2S53,2019-01,31,31,100.0
C2S53,2019-02,28,28,100.0
C2S53,2019-03,31,31,100.0
C2S53,2019-04,1,30,3.33
C2S54,2018-08,31,31,100.0
C2S54,2018-09,30,30,100.0
C2S54,2018-10,31,31,100.0
C2S54,2018-11,30,30,100.0
C2S54,2018-12,31,31,100.0
C2S54,2019-01,31,31,100.0
C2S54,2019-02,28,28,100.0
C2S54,2019-03,31,31,100.0
C2S54,2019-04,1,30,3.33
C2S55,2018-08,31,31,100.0
C2S55,2018-09,30,30,100.0
C2S55,2018-10,31,31,100.0
C2S55,2018-11,30,30,100.0
C2S55,2018-12,31,31,100.0
C2S55,2019-01,31,31,100.0
C2S55,2019-02,28,28,100.0
C2S55,2019-03,31,31,100.0
C2S55,2019-04,1,30,3.33
C2S56,2018-08,31,31,100.0
C2S56,2018-09,30,30,100.0
C2S56,2018-10,31,31,100.0
C2S56,2018-11,30,30,100.0
C2S56,2018-12,31,31,100.0
C2S56,2019-01,31,31,100.0
C2S56,2019-02,28,28,100.0
C2S56,2019-03,31,31,100.0
C2S56,2019-04,1,30,3.33
C2S57,2018-09,30,30,100.0
C2S57,2018-10,31,31,100.0
C2S57,2018-11,30,30,100.0
C2S57,2018-12,31,31,100.0
C2S57,2019-01,31,31,100.0
C2S57,2019-02,28,28,100.0
C2S57,2019-03,31,31,100.0
C2S57,2019-04,1,30,3.33
C2S58,2018-08,31,31,100.0
C2S58,2018-09,30,30,100.0
C2S58,2018-10,31,31,100.0
C2S58,2018-11,30,30,100.0
C2S58,2018-12,31,31,100.0
C2S58,2019-01,31,31,100.0
C2S58,2019-02,28,28,100.0
C2S58,2019-03,31,31,100.0
C2S58,2019-04,1,30,3.33
C2S59,2018-08,1,31,3.23
C2S6,2018-08,31,31,100.0
C2S6,2018-09,30,30,100.0
C2S6,2018-10,31,31,100.0
C2S6,2018-11,30,30,100.0
C2S6,2018-12,31,31,100.0
C2S6,2019-01,31,31,100.0
C2S6,2019-02,28,28,100.0
C2S6,2019-03,31,31,100.0
C2S6,2019-04,1,30,3.33
C2S62,2018-08,31,31,100.0
C2S62,2018-09,30,30,100.0
C2S62,2018-10,31,31,100.0
C2S62,2018-11,30,30,100.0
C2S62,2018-12,31,31,100.0
C2S62,2019-01,31,31,100.0
C2S62,2019-02,28,28,100.0
C2S62,2019-03,31,31,100.0
C2S62,2019-04,1,30,3.33
C2S64,2019-03,31,31,100.0
C2S64,2019-04,1,30,3.33
C2S65,2018-08,31,31,100.0
C2S65,2018-09,30,30,100.0
C2S65,2018-10,31,31,100.0
C2S65,2018-11,30,30,100.0
C2S65,2018-12,31,31,100.0
C2S65,2019-01,31,31,100.0
C2S65,2019-02,28,28,100.0
C2S65,2019-03,31,31,100.0
C2S65,2019-04,1,30,3.33
C2S66,2018-08,31,31,100.0
C2S66,2018-09,30,30,100.0
C2S66,2018-10,31,31,100.0
C2S66,2018-11,30,30,100.0
C2S66,2018-12,31,31,100.0
C2S66,2019-01,31,31,100.0
C2S66,2019-02,28,28,100.0
C2S66,2019-03,31,31,100.0
C2S66,2019-04,1,30,3.33
C2S67,2018-08,31,31,100.0
C2S67,2018-09,30,30,100.0
C2S67,2018-10,31,31,100.0
C2S67,2018-11,30,30,100.0
C2S67,2018-12,31,31,100.0
C2S67,2019-01,31,31,100.0
C2S67,2019-02,28,28,100.0
C2S67,2019-03,31,31,100.0
C2S67,2019-04,1,30,3.33
C2S68,2018-08,31,31,100.0
C2S68,2018-09,30,30,100.0
C2S68,2018-10,31,31,100.0
C2S68,2018-11,30,30,100.0
C2S68,2018-12,31,31,100.0
C2S68,2019-01,31,31,100.0
C2S68,2019-02,28,28,100.0
C2S68,2019-03,31,31,100.0
C2S68,2019-04,1,30,3.33
C2S69,2019-03,31,31,100.0
C2S69,2019-04,1,30,3.33
C2S7,2018-08,31,31,100.0
C2S7,2018-09,30,30,100.0
C2S7,2018-10,31,31,100.0
C2S7,2018-11,30,30,100.0
C2S7,2018-12,31,31,100.0
C2S7,2019-01,31,31,100.0
C2S7,2019-02,28,28,100.0
C2S7,2019-03,31,31,100.0
C2S7,2019-04,1,30,3.33
C2S73,2018-08,31,31,100.0
C2S73,2018-09,30,30,100.0
C2S73,2018-10,31,31,100.0
C2S73,2018-11,30,30,100.0
C2S73,2018-12,31,31,100.0
C2S73,2019-01,31,31,100.0
C2S73,2019-02,28,28,100.0
C2S73,2019-03,31,31,100.0
C2S73,2019-04,1,30,3.33
C2S8,2018-08,31,31,100.0
C2S8,2018-09,30,30,100.0
C2S8,2018-10,31,31,100.0
C2S8,2018-11,30,30,100.0
C2S8,2018-12,31,31,100.0
C2S8,2019-01,31,31,100.0
C2S8,2019-02,28,28,100.0
C2S8,2019-03,31,31,100.0
C2S8,2019-04,1,30,3.33
C2S80,2018-09,30,30,100.0
C2S80,2018-10,31,31,100.0
C2S80,2018-11,30,30,100.0
C2S80,2018-12,31,31,100.0
C2S80,2019-01,31,31,100.0
C2S80,2019-02,28,28,100.0
C2S80,2019-03,31,31,100.0
C2S80,2019-04,1,30,3.33
C2S83,2018-08,31,31,100.0
C2S83,2018-09,30,30,100.0
C2S83,2018-10,31,31,100.0
C2S83,2018-11,30,30,100.0
C2S83,2018-12,31,31,100.0
C2S83,2019-01,31,31,100.0
C2S83,2019-02,28,28,100.0
C2S83,2019-03,31,31,100.0
C2S83,2019-04,1,30,3.33
C2S84,2018-09,30,30,100.0
C2S84,2018-10,31,31,100.0
C2S84,2018-11,30,30,100.0
C2S84,2018-12,31,31,100.0
C2S84,2019-01,31,31,100.0
C2S84,2019-02,28,28,100.0
C2S84,2019-03,31,31,100.0
C2S84,2019-04,1,30,3.33
C2S85,2018-08,31,31,100.0
C2S85,2018-09,30,30,100.0
C2S85,2018-10,31,31,100.0
C2S85,2018-11,30,30,100.0
C2S85,2018-12,31,31,100.0
C2S85,2019-01,31,31,100.0
C2S85,2019-02,28,28,100.0
C2S85,2019-03,31,31,100.0
C2S85,2019-04,1,30,3.33
C2S86,2018-08,31,31,100.0
C2S86,2018-09,30,30,100.0
C2S86,2018-10,31,31,100.0
C2S86,2018-11,30,30,100.0
C2S86,2018-12,31,31,100.0
C2S86,2019-01,31,31,100.0
C2S86,2019-02,28,28,100.0
C2S86,2019-03,31,31,100.0
C2S86,2019-04,1,30,3.33
C2S87,2018-08,31,31,100.0
C2S87,2018-09,30,30,100.0
C2S87,2018-10,31,31,100.0
C2S87,2018-11,30,30,100.0
C2S87,2018-12,31,31,100.0
C2S87,2019-01,31,31,100.0
C2S87,2019-02,28,28,100.0
C2S87,2019-03,31,31,100.0
C2S87,2019-04,1,30,3.33
C2S88,2019-03,9,31,29.03
C2S89,2019-03,9,31,29.03
C2S9,2018-08,31,31,100.0
C2S9,2018-09,30,30,100.0
C2S9,2018-10,31,31,100.0
C2S9,2018-11,30,30,100.0
C2S9,2018-12,31,31,100.0
C2S9,2019-01,31,31,100.0
C2S9,2019-02,28,28,100.0
C2S9,2019-03,31,31,100.0
C2S9,2019-04,1,30,3.33
C2S90,2018-08,31,31,100.0
C2S90,2018-09,30,30,100.0
C2S90,2018-10,31,31,100.0
C2S90,2018-11,30,30,100.0
C2S90,2018-12,31,31,100.0
C2S90,2019-01,31,31,100.0
C2S90,2019-02,28,28,100.0
C2S90,2019-03,31,31,100.0
C2S90,2019-04,1,30,3.33
C2S91,2019-03,9,31,29.03
C2S92,2018-08,31,31,100.0
C2S92,2018-09,30,30,100.0
C2S92,2018-10,31,31,100.0
C2S92,2018-11,30,30,100.0
C2S92,2018-12,31,31,100.0
C2S92,2019-01,31,31,100.0
C2S92,2019-02,28,28,100.0
C2S92,2019-03,31,31,100.0
C2S92,2019-04,1,30,3.33
C2S93,2018-08,31,31,100.0
C2S93,2018-09,30,30,100.0
C2S93,2018-10,31,31,100.0
C2S93,2018-11,30,30,100.0
C2S93,2018-12,31,31,100.0
C2S93,2019-01,31,31,100.0
C2S93,2019-02,28,28,100.0
C2S93,2019-03,31,31,100.0
C2S93,2019-04,1,30,3.33
C2S94,2018-09,30,30,100.0
C2S94,2018-10,31,31,100.0
C2S94,2018-11,30,30,100.0
C2S94,2018-12,31,31,100.0
C2S94,2019-01,31,31,100.0
C2S94,2019-02,28,28,100.0
C2S94,2019-03,31,31,100.0
C2S94,2019-04,1,30,3.33
C2S95,2018-08,31,31,100.0
C2S95,2018-09,30,30,100.0
C2S95,2018-10,31,31,100.0
C2S95,2018-11,30,30,100.0
C2S95,2018-12,31,31,100.0
C2S95,2019-01,31,31,100.0
C2S95,2019-02,28,28,100.0
C2S95,2019-03,31,31,100.0
C2S95,2019-04,1,30,3.33
C2S96,2018-08,31,31,100.0
C2S96,2018-09,30,30,100.0
C2S96,2018-10,31,31,100.0
C2S96,2018-11,30,30,100.0
C2S96,2018-12,31,31,100.0
C2S96,2019-01,31,31,100.0
C2S96,2019-02,28,28,100.0
C2S96,2019-03,31,31,100.0
C2S96,2019-04,1,30,3.33
C2S97,2019-03,9,31,29.03
C2S98,2018-08,31,31,100.0
C2S98,2018-09,30,30,100.0
C2S98,2018-10,31,31,100.0
C2S98,2018-11,30,30,100.0
C2S98,2018-12,31,31,100.0
C2S98,2019-01,31,31,100.0
C2S98,2019-02,28,28,100.0
C2S98,2019-03,31,31,100.0
C2S98,2019-04,1,30,3.33
C3S151,2018-08,31,31,100.0
C3S151,2018-09,30,30,100.0
C3S151,2018-10,31,31,100.0
C3S151,2018-11,30,30,100.0
C3S151,2018-12,31,31,100.0
C3S151,2019-01,31,31,100.0
C3S151,2019-02,28,28,100.0
C3S151,2019-03,31,31,100.0
C3S151,2019-04,30,30,100.0
C3S211,2018-08,31,31,100.0
C3S211,2018-09,30,30,100.0
C3S211,2018-10,31,31,100.0
C3S211,2018-11,30,30,100.0
C3S211,2018-12,31,31,100.0
C3S211,2019-01,31,31,100.0
C3S211,2019-02,28,28,100.0
C3S211,2019-03,31,31,100.0
C3S211,2019-04,30,30,100.0
C3S255,2018-08,31,31,100.0
C3S255,2018-09,30,30,100.0
C3S255,2018-10,31,31,100.0
C3S255,2018-11,30,30,100.0
C3S255,2018-12,31,31,100.0
C3S255,2019-01,31,31,100.0
C3S255,2019-02,28,28,100.0
C3S255,2019-03,31,31,100.0
C3S255,2019-04,30,30,100.0
C3S261,2018-08,31,31,100.0
C3S261,2018-09,30,30,100.0
C3S261,2018-10,31,31,100.0
C3S261,2018-11,30,30,100.0
C3S261,2018-12,31,31,100.0
C3S261,2019-01,31,31,100.0
C3S261,2019-02,28,28,100.0
C3S261,2019-03,31,31,100.0
C3S261,2019-04,30,30,100.0
C3S262,2018-08,31,31,100.0
C3S262,2018-09,30,30,100.0
C3S262,2018-10,31,31,100.0
C3S262,2018-11,30,30,100.0
C3S262,2018-12,31,31,100.0
C3S262,2019-01,31,31,100.0
C3S262,2019-02,28,28,100.0
C3S262,2019-03,31,31,100.0
C3S262,2019-04,30,30,100.0
C3S272,2018-08,31,31,100.0
C3S272,2018-09,30,30,100.0
C3S272,2018-10,31,31,100.0
C3S272,2018-11,30,30,100.0
C3S272,2018-12,31,31,100.0
C3S272,2019-01,31,31,100.0
C3S272,2019-02,28,28,100.0
C3S272,2019-03,31,31,100.0
C3S272,2019-04,30,30,100.0
C3S275,2018-08,31,31,100.0
C3S275,2018-09,30,30,100.0
C3S275,2018-10,31,31,100.0
C3S275,2018-11,30,30,100.0
C3S275,2018-12,31,31,100.0
C3S275,2019-01,31,31,100.0
C3S275,2019-02,28,28,100.0
C3S275,2019-03,31,31,100.0
C3S275,2019-04,30,30,100.0
C3S279,2018-08,31,31,100.0
C3S279,2018-09,30,30,100.0
C3S279,2018-10,31,31,100.0
C3S279,2018-11,30,30,100.0
C3S279,2018-12,31,31,100.0
C3S279,2019-01,31,31,100.0
C3S279,2019-02,28,28,100.0
C3S279,2019-03,31,31,100.0
C3S279,2019-04,30,30,100.0
C3S28,2018-08,31,31,100.0
C3S28,2018-09,30,30,100.0
C3S28,2018-10,31,31,100.0
C3S28,2018-11,30,30,100.0
C3S28,2018-12,31,31,100.0
C3S28,2019-01,31,31,100.0
C3S28,2019-02,28,28,100.0
C3S28,2019-03,31,31,100.0
C3S28,2019-04,30,30,100.0
C3S283,2018-08,31,31,100.0
C3S283,2018-09,30,30,100.0
C3S283,2018-10,31,31,100.0
C3S283,2018-11,30,30,100.0
C3S283,2018-12,31,31,100.0
C3S283,2019-01,31,31,100.0
C3S283,2019-02,28,28,100.0
C3S283,2019-03,31,31,100.0
C3S283,2019-04,30,30,100.0
C3S29,2018-08,31,31,100.0
C3S29,2018-09,30,30,100.0
C3S29,2018-10,31,31,100.0
C3S29,2018-11,30,30,100.0
C3S29,2018-12,31,31,100.0
C3S29,2019-01,31,31,100.0
C3S29,2019-02,28,28,100.0
C3S29,2019-03,31,31,100.0
C3S29,2019-04,30,30,100.0
C3S296,2018-08,31,31,100.0
C3S296,2018-09,30,30,100.0
C3S296,2018-10,31,31,100.0
C3S296,2018-11,30,30,100.0
C3S296,2018-12,31,31,100.0
C3S296,2019-01,31,31,100.0
C3S296,2019-02,28,28,100.0
C3S296,2019-03,31,31,100.0
C3S296,2019-04,30,30,100.0
C3S30,2018-08,31,31,100.0
C3S30,2018-09,30,30,100.0
C3S30,2018-10,31,31,100.0
C3S30,2018-11,30,30,100.0
C3S30,2018-12,31,31,100.0
C3S30,2019-01,31,31,100.0
C3S30,2019-02,28,28,100.0
C3S30,2019-03,31,31,100.0
C3S30,2019-04,30,30,100.0
C3S31,2018-08,31,31,100.0
C3S31,2018-09,30,30,100.0
C3S31,2018-10,31,31,100.0
C3S31,2018-11,30,30,100.0
C3S31,2018-12,31,31,100.0
C3S31,2019-01,31,31,100.0
C3S31,2019-02,28,28,100.0
C3S31,2019-03,31,31,100.0
C3S31,2019-04,30,30,100.0
C3S32,2018-08,31,31,100.0
C3S32,2018-09,30,30,100.0
C3S32,2018-10,31,31,100.0
C3S32,2018-11,30,30,100.0
C3S32,2018-12,31,31,100.0
C3S32,2019-01,31,31,100.0
C3S32,2019-02,28,28,100.0
C3S32,2019-03,31,31,100.0
C3S32,2019-04,30,30,100.0
C3S33,2018-08,31,31,100.0
C3S33,2018-09,30,30,100.0
C3S33,2018-10,31,31,100.0
C3S33,2018-11,30,30,100.0
C3S33,2018-12,31,31,100.0
C3S33,2019-01,31,31,100.0
C3S33,2019-02,28,28,100.0
C3S33,2019-03,31,31,100.0
C3S33,2019-04,30,30,100.0
C3S34,2018-11,3,30,10.0
C3S34,2018-12,31,31,100.0
C3S34,2019-01,31,31,100.0
C3S34,2019-02,28,28,100.0
C3S34,2019-03,31,31,100.0
C3S34,2019-04,30,30,100.0
C3S343,2018-08,31,31,100.0
C3S343,2018-09,30,30,100.0
C3S343,2018-10,31,31,100.0
C3S343,2018-11,30,30,100.0
C3S343,2018-12,31,31,100.0
C3S343,2019-01,31,31,100.0
C3S343,2019-02,28,28,100.0
C3S343,2019-03,31,31,100.0
C3S343,2019-04,30,30,100.0
C3S35,2018-08,31,31,100.0
C3S35,2018-09,30,30,100.0
C3S35,2018-10,31,31,100.0
C3S35,2018-11,30,30,100.0
C3S35,2018-12,31,31,100.0
C3S35,2019-01,31,31,100.0
C3S35,2019-02,28,28,100.0
C3S35,2019-03,31,31,100.0
C3S35,2019-04,30,30,100.0
C3S36,2018-08,31,31,100.0
C3S36,2018-09,30,30,100.0
C3S36,2018-10,31,31,100.0
C3S36,2018-11,30,30,100.0
C3S36,2018-12,31,31,100.0
C3S36,2019-01,31,31,100.0
C3S36,2019-02,28,28,100.0
C3S36,2019-03,31,31,100.0
C3S36,2019-04,30,30,100.0
C3S37,2018-08,31,31,100.0
C3S37,2018-09,30,30,100.0
C3S37,2018-10,31,31,100.0
C3S37,2018-11,30,30,100.0
C3S37,2018-12,31,31,100.0
C3S37,2019-01,31,31,100.0
C3S37,2019-02,28,28,100.0
C3S37,2019-03,31,31,100.0
C3S37,2019-04,30,30,100.0
C3S38,2018-08,31,31,100.0
C3S38,2018-09,30,30,100.0
C3S38,2018-10,31,31,100.0
C3S38,2018-11,30,30,100.0
C3S38,2018-12,31,31,100.0
C3S38,2019-01,31,31,100.0
C3S38,2019-02,28,28,100.0
C3S38,2019-03,31,31,100.0
C3S38,2019-04,30,30,100.0
C3S39,2018-08,31,31,100.0
C3S39,2018-09,30,30,100.0
C3S39,2018-10,31,31,100.0
C3S39,2018-11,30,30,100.0
C3S39,2018-12,31,31,100.0
C3S39,2019-01,31,31,100.0
C3S39,2019-02,28,28,100.0
C3S39,2019-03,31,31,100.0
C3S39,2019-04,30,30,100.0
C3S40,2018-08,31,31,100.0
C3S40,2018-09,30,30,100.0
C3S40,2018-10,31,31,100.0
C3S40,2018-11,30,30,100.0
C3S40,2018-12,31,31,100.0
C3S40,2019-01,31,31,100.0
C3S40,2019-02,28,28,100.0
C3S40,2019-03,31,31,100.0
C3S40,2019-04,30,30,100.0
P2S1,2018-12,22,31,70.97
P2S1,2019-01,31,31,100.0
P2S1,2019-02,28,28,100.0
P2S1,2019-03,31,31,100.0
P2S1,2019-04,1,30,3.33
